Name,Alias,IATA,ICAO,call_sign,Country,Active,child_price_rate,
Airdeal Oy,\N,,ADU,AIRDEAL,Finland,N,0.3,
Advance Air Charters,\N,,ADV,ADVANCE,Canada,N,0.3,
Air Andaman,\N,,ADW,AIR ANDAMAN,Thailand,N,0.3,
Anderson Aviation,\N,,ADX,ANDAX,United States,N,0.3,
Air Europa,\N,UX,AEA,EUROPA,Spain,Y,0.3,
Air Southwest Ltd.,\N,,ASW,AIRSOUTHWEST,Canada,N,0.3,
Air Special,\N,,ASX,AIRSPEC,Czech Republic,N,0.3,
Aero Benin,\N,EM,AEB,AEROBEN,Benin,Y,0.3,
Aerocesar,\N,,AEC, Aerovias Del Cesar,AEROCESAR,N,0.3,
Aerotrans Airlines,\N,,AED,,Russia,N,0.3,
Aegean Airlines,\N,A3,AEE,AEGEAN,Greece,Y,0.3,
Aerofumigaciones Sam,\N,,AEG,FUMIGACIONES SAM,Chile,N,0.3,
Aeroexpreso Interamericano,\N,,AEI,INTERAM,Colombia,N,0.3,
Air Express,\N,,AEJ,KHAKI EXPRESS,Tanzania,N,0.3,
Aerocon,\N,,AEK,AEROCON,Bolivia,N,0.3,
Aero Madrid,\N,,AEM,AEROMADRID,Spain,N,0.3,
Aeroenlaces Nacionales,\N,,AEN,,Mexico,N,0.3,
Aeroservicios Ejecutivos Del Occidente,\N,,AEO,AERO OCCIDENTE,Mexico,N,0.3,
Aerotec,\N,,AEP,AEROTEC,Spain,N,0.3,
Air Atlantique,\N,KI,AAG,ATLANTIC,United Kingdom,N,0.3,
Air Europe,\N,PE,AEL,AIR EUROPE,Italy,Y,0.3,
Air Alma,\N,,AAJ,AIR ALMA,Canada,N,0.3,
Air Express,\N,,AEQ,LUNA,Sweden,N,0.3,
Alaska Central Express,\N,KO,AER,ACE AIR,United States,Y,0.3,
ACES Colombia,\N,,AES,ACES,Colombia,Y,0.3,
Aeronautical Radio of Thailand,\N,,AET,AEROTHAI,Thailand,N,0.3,
Astraeus,\N,5W,AEU,FLYSTAR,United Kingdom,Y,0.3,
Aeroventas,\N,,AEV,AEROVENTAS,Mexico,N,0.3,
Aerosvit Airlines,\N,VV,AEW,AEROSVIT,Ukraine,Y,0.3,
Airway Express,\N,,AEX,AVCO,United States,N,0.3,
Air Italy,\N,I9,AEY,AIR ITALY,Italy,Y,0.3,
Aerial Transit Company,\N,,AEZ,AERIAL TRANZ,United States,N,0.3,
Alfa Air,\N,,AFA,BLUE ALFA,Czech Republic,N,0.3,
American Falcon,\N,WK,AFB,AMERICAN FALCON,Argentina,N,0.3,
Alliance Airlines,\N,QQ,UTY,UNITY,Australia,Y,0.3,
Air Universal,\N,,UVS,UNI-LEONE,Sierra Leone,N,0.3,
Auvia Air,\N,,UVT,AUVIA,Indonesia,N,0.3,
African West Air,\N,,AFC,AFRICAN WEST,Senegal,N,0.3,
Airfast Indonesia,\N,,AFE,AIRFAST,Indonesia,N,0.3,
Ariana Afghan Airlines,\N,FG,AFG,ARIANA,Afghanistan,Y,0.3,
Air Fecteau,\N,,AFH,FECTO,Canada,N,0.3,
Africaone,\N,,AFI,AFRICAWORLD,Uganda,N,0.3,
Alliance,\N,,AFJ,JAMBO,Uganda,N,0.3,
Africa Air Links,\N,,AFK,AFRICA LINKS,Sierra Leone,N,0.3,
Aeroflot Russian Airlines,\N,SU,AFL,AEROFLOT,Russia,Y,0.3,
Aero Empresa Mexicana,\N,,AFO,AERO EMPRESA,Mexico,N,0.3,
Air Bosna,\N,JA,BON,AIR BOSNA,Bosnia and Herzegovina,Y,0.3,
Air Bravo,\N,,BRF,AIR BRAVO,Uganda,N,0.3,
Air Brasd'or,\N,,BRL,BRASD'OR,Canada,N,0.3,
Air 500,\N,,BRM,BOOMERANG,Canada,N,0.3,
Alba Servizi Aerotrasporti,\N,,AFQ,ALBA,Italy,N,0.3,
Air France,\N,AF,AFR,AIRFRANS,France,Y,0.3,
Air Partner,\N,,ACG,AIR PARTNER,United Kingdom,N,0.3,
Air Caledonie International,\N,SB,ACI,AIRCALIN,France,Y,0.3,
Air Caledonia,\N,,ACM,WEST CAL,Canada,N,0.3,
Air Guam,\N,,AGM,AIR GUAM,United States,N,0.3,
Air Gabon,\N,GN,AGN,GOLF NOVEMBER,Gabon,N,0.3,
Air Data,\N,,AFS,,United Kingdom,N,0.3,
Air Afrique Vacancies,\N,,AFV,AFRIQUE VACANCE,Ivory Coast,N,0.3,
Air Cargo America,\N,,MVM,PEGASUS,United States,N,0.3,
Air Salone,\N,2O,,,Sierra Leone,Y,0.3,
Air-Angol,\N,,NGO,AIR ANGOL,Angola,N,0.3,
Air Nigeria,\N,,NGP,REGAL EAGLE,Nigeria,N,0.3,
Air Cargo Carriers,\N,2Q,SNC,NIGHT CARGO,United States,Y,0.3,
Air Samarkand,\N,,SND,ARSAM,Uzbekistan,N,0.3,
Air Senegal International,\N,V7,SNG,AIR SENEGAL,Senegal,N,0.3,
Air Sandy,\N,,SNY,AIR SANDY,Canada,N,0.3,
Air Namibia,\N,SW,NMB,NAMIBIA,Namibia,Y,0.3,
Air Intersalonika,\N,,NSK,INTERSALONIKA,Greece,N,0.3,
Air Anatolia,\N,,NTL,AIR ANATOLIA,Turkey,N,0.3,
Air Saigon,\N,,SGA,AIR SAIGON,Vietnam,N,0.3,
Afrique Regional Airways,\N,,AFW,AFRAIR,Ivory Coast,N,0.3,
Airfreight Express,\N,,AFX, ,United Kingdom,N,0.3,
Africa Chartered Services,\N,,AFY,AFRICA CHARTERED,Nigeria,N,0.3,
Africa Freight Services,\N,,AFZ,AFREIGHT,Zambia,N,0.3,
Aeronaves Del Centro,\N,,AGA,,Venezuela,N,0.3,
Air Service Gabon,\N,G8,AGB,,Gabon,N,0.3,
Arab Agricultural Aviation Company,\N,,AGC,AGRICO,Egypt,N,0.3,
Atlantic Gulf Airlines,\N,,AGF,ATLANTIC GULF,United States,N,0.3,
Aerolitoral,\N,5D,SLI,COSTERA,Mexico,Y,0.3,
Algoma Airways,\N,,AGG,ALGOMA,Canada,N,0.3,
Altagna,\N,,AGH,ALTAGNA,France,N,0.3,
Angola Air Charter,\N,,AGO,ANGOLA CHARTER,Angola,N,0.3,
Angola Air Charter,\N,,AGO,ANGOLA CHARTER,Angola,N,0.3,
AERFI Group,\N,,AGP,AIR TARA,Ireland,N,0.3,
Aerogala,\N,,AGQ,GALASERVICE,Chile,N,0.3,
Amadeus Global Travel Distribution,\N,1A,AGT,AMADEUS,Spain,N,0.3,
Angara Airlines,\N,,AGU,SARMA,Russia,N,0.3,
Air Glaciers,\N,7T,AGV,AIR GLACIERS,Switzerland,Y,0.3,
Aero Gambia,\N,,AGW,AERO GAMBIA,Gambia,N,0.3,
Aviogenex,\N,,AGX,GENEX,Serbia,Y,0.3,
Atlantic Coast Airlines,\N,,BLR,BLUE RIDGE,United States,N,0.3,
Aero Barloz,\N,,BLZ,AEROLOZ,Mexico,N,0.3,
Aeroper,\N,PL,PLI,Aeroperu,Peru,Y,0.3,
Atlas Blue,\N,8A,BMM,ATLAS BLUE,Morocco,Y,0.3,
Aero Banobras,\N,,BNB,AEROBANOBRAS,Mexico,N,0.3,
