name,alias,iata,icao,call_sign,country,active,active_2,child_price_rate,
Avion Taxi,\N,,ADQ,AIR DATA,Canada,false,N,0.3,
Adria Airways,\N,JP,ADR,ADRIA,Slovenia,true,Y,0.3,
Aviones de Sonora,\N,,ADS,SONORAV,Mexico,false,N,0.3,
Air Dorval,\N,,ADT,AIR DORVAL,Canada,false,N,0.3,
Airdeal Oy,\N,,ADU,AIRDEAL,Finland,false,N,0.3,
Advance Air Charters,\N,,ADV,ADVANCE,Canada,false,N,0.3,
Air Andaman,\N,,ADW,AIR ANDAMAN,Thailand,false,N,0.3,
Anderson Aviation,\N,,ADX,ANDAX,United States,false,N,0.3,
Air Europa,\N,UX,AEA,EUROPA,Spain,true,Y,0.3,
Air Southwest Ltd.,\N,,ASW,AIRSOUTHWEST,Canada,false,N,0.3,
Air Special,\N,,ASX,AIRSPEC,Czech Republic,false,N,0.3,
Aero Benin,\N,EM,AEB,AEROBEN,Benin,true,Y,0.3,
Aerocesar,\N,,AEC, Aerovias Del Cesar,AEROCESAR,false,N,0.3,
Aerotrans Airlines,\N,,AED,,Russia,false,N,0.3,
Aegean Airlines,\N,A3,AEE,AEGEAN,Greece,true,Y,0.3,
Aerofumigaciones Sam,\N,,AEG,FUMIGACIONES SAM,Chile,false,N,0.3,
Aeroexpreso Interamericano,\N,,AEI,INTERAM,Colombia,false,N,0.3,
Air Express,\N,,AEJ,KHAKI EXPRESS,Tanzania,false,N,0.3,
Aerocon,\N,,AEK,AEROCON,Bolivia,false,N,0.3,
Aero Madrid,\N,,AEM,AEROMADRID,Spain,false,N,0.3,
Aeroenlaces Nacionales,\N,,AEN,,Mexico,false,N,0.3,
Aeroservicios Ejecutivos Del Occidente,\N,,AEO,AERO OCCIDENTE,Mexico,false,N,0.3,
Aerotec,\N,,AEP,AEROTEC,Spain,false,N,0.3,
Air Atlantique,\N,KI,AAG,ATLANTIC,United Kingdom,false,N,0.3,
Air Europe,\N,PE,AEL,AIR EUROPE,Italy,true,Y,0.3,
Air Alma,\N,,AAJ,AIR ALMA,Canada,false,N,0.3,
Air Express,\N,,AEQ,LUNA,Sweden,false,N,0.3,
Alaska Central Express,\N,KO,AER,ACE AIR,United States,true,Y,0.3,
ACES Colombia,\N,,AES,ACES,Colombia,true,Y,0.3,
Aeronautical Radio of Thailand,\N,,AET,AEROTHAI,Thailand,false,N,0.3,
Astraeus,\N,5W,AEU,FLYSTAR,United Kingdom,true,Y,0.3,
Aeroventas,\N,,AEV,AEROVENTAS,Mexico,false,N,0.3,
Aerosvit Airlines,\N,VV,AEW,AEROSVIT,Ukraine,true,Y,0.3,
Airway Express,\N,,AEX,AVCO,United States,false,N,0.3,
Air Italy,\N,I9,AEY,AIR ITALY,Italy,true,Y,0.3,
Aerial Transit Company,\N,,AEZ,AERIAL TRANZ,United States,false,N,0.3,
Alfa Air,\N,,AFA,BLUE ALFA,Czech Republic,false,N,0.3,
American Falcon,\N,WK,AFB,AMERICAN FALCON,Argentina,false,N,0.3,
Alliance Airlines,\N,QQ,UTY,UNITY,Australia,true,Y,0.3,
Air Universal,\N,,UVS,UNI-LEONE,Sierra Leone,false,N,0.3,
Auvia Air,\N,,UVT,AUVIA,Indonesia,false,N,0.3,
African West Air,\N,,AFC,AFRICAN WEST,Senegal,false,N,0.3,
Airfast Indonesia,\N,,AFE,AIRFAST,Indonesia,false,N,0.3,
Ariana Afghan Airlines,\N,FG,AFG,ARIANA,Afghanistan,true,Y,0.3,
Air Fecteau,\N,,AFH,FECTO,Canada,false,N,0.3,
Africaone,\N,,AFI,AFRICAWORLD,Uganda,false,N,0.3,
Alliance,\N,,AFJ,JAMBO,Uganda,false,N,0.3,
