name,alias,iata,icao,call_sign,country,active,active_2,child_price_rate,
AST Pakistan Airways,\N,,PKA,PAKISTAN AIRWAY,Pakistan,false,N,0.3,
Aero Personal,\N,,PNL,AEROPERSONAL,Mexico,false,N,0.3,
Aero Servicios Platinum,\N,,PNU,AERO PLATINUM,Mexico,false,N,0.3,
Apoyo Aereo,\N,,POY,APOYO AEREO,Mexico,false,N,0.3,
Aerotransportes Privados,\N,,PRI,AEROPRIV,Mexico,false,N,0.3,
Atlantic Coast Jet,\N,,PRT,PATRIOT,United States,false,N,0.3,
Air Paradise International,\N,AD,PRZ,RADISAIR,Indonesia,false,N,0.3,
Aeroservicio Sipse,\N,,PSE,SIPSE,Mexico,false,N,0.3,
Aeroservicios Corporativos De San Luis,\N,,PSL,CORSAN,Mexico,false,N,0.3,
Aerotransportes Privados,\N,,PVA,TRANSPRIVADO,Mexico,false,N,0.3,
Aereo Taxi Paraza,\N,,PZA,AEREO PARAZA,Mexico,false,N,0.3,
Air Class Lineas Aereas,\N,QD,QCL,ACLA,Uruguay,false,N,0.3,
Aviation Consultancy Office,\N,,QEA,,Australia,false,N,0.3,
Aero Taxi,\N,,QAT,AIR QUASAR,Canada,false,N,0.3,
Aero Taxi Aviation,\N,,QKC,QUAKER CITY,United States,false,N,0.3,
Aviation Quebec Labrador,\N,,QLA,QUEBEC LABRADOR,Canada,false,N,0.3,
African Safari Airways,\N,QS,QSC,ZEBRA,Kenya,false,N,0.3,
Aero Quimmco,\N,,QUI,QUIMMCO,Mexico,false,N,0.3,
Alada,\N,,RAD,AIR ALADA,Angola,false,N,0.3,
Aerotur-Air,\N,,RAI,DIASA,Kazakhstan,false,N,0.3,
Air Center Helicopters,\N,,RAP,RAPTOR,United States,false,N,0.3,
Aur Rum Benin,\N,,RBE,RUM BENIN,Benin,false,N,0.3,
Aeroserivios Del Bajio,\N,,RBJ,AEROBAJIO,Mexico,false,N,0.3,
Airbus France,\N,4Y,RBU,AIRBUS FRANCE,France,false,N,0.3,
Air Roberval,\N,,RBV,AIR ROBERVAL,Canada,false,N,0.3,
Arubaexel,\N,,RBX,ARUBA,Aruba,false,N,0.3,
Air Charters Eelde,\N,,RCC,RACER,Netherlands,false,N,0.3,
Aerocer,\N,,RCE,AEROCER,Mexico,false,N,0.3,
Aeroflot-Cargo,\N,,RCF,AEROFLOT-CARGO,Russia,false,N,0.3,
Air Mobility Command,\N,MC,RCH,REACH,United States,false,N,0.3,
Air Cassai,\N,,RCI,AIR CASSAI,Angola,false,N,0.3,
Aero Renta De Coahuila,\N,,RCO,AEROCOAHUILA,Mexico,false,N,0.3,
Aerocorp,\N,,RCP,AEROCORPSA,Mexico,false,N,0.3,
Aerolineas Regionales,\N,,RCQ,REGIONAL CARGO,Mexico,false,N,0.3,
Atlantic S.L.,\N,,RCU,AIR COURIER,Spain,false,N,0.3,
Air Service Center,\N,,RCX,SERVICE CENTER,Italy,false,N,0.3,
Adygeya Airlines,\N,,RDD,ADLINES,Russia,false,N,0.3,
Air Ada,\N,,RDM,AIR ADA,Mauritania,false,N,0.3,
Aer Arann,\N,RE,REA,AER ARANN,Ireland,true,Y,0.3,
Aero-Rent,\N,,REN,AERORENT,Mexico,false,N,0.3,
Australian Maritime Safety Authority,\N,,RES,RESCUE,Australia,false,N,0.3,
Air Austral,\N,UU,REU,REUNION,France,true,Y,0.3,
Aero-Rey,\N,,REY,AEROREY,Mexico,false,N,0.3,
Aero Africa,\N,,RFC,AERO AFRICA,Swaziland,false,N,0.3,
Aerotransportes Rafilher,\N,,RFD,RAFHILER,Mexico,false,N,0.3,
Argo,\N,,RGO,ARGOS,Dominican Republic,false,N,0.3,
Airbourne School of Flying,\N,,RGT,AIRGOAT,United Kingdom,false,N,0.3,
Air Archipels,\N,,RHL,ARCHIPELS,France,false,N,0.3,
Aviation Ministry of the Interior of the Russian Federation,\N,,RIF,INTERMIN AVIA,Russian Federation,false,N,0.3,
Aeris Gestion,\N,,RIS,AERIS,Spain,false,N,0.3,
Asian Spirit,\N,6K,RIT,ASIAN SPIRIT,Philippines,true,Y,0.3,
Aeroservicios Jet,\N,,RJS,ASERJET,Mexico,false,N,0.3,
Air Afrique,\N,RK,RKA,AIRAFRIC,Ivory Coast,true,Y,0.3,
Airlinair,\N,A5,RLA,AIRLINAIR,France,true,Y,0.3,
Air Nelson,\N,,RLK,,New Zealand,false,N,0.3,
Air Leone,\N,,RLL,AEROLEONE,Sierra Leone,false,N,0.3,
Aero Lanka,\N,QL,RLN,AERO LANKA,Sri Lanka,true,Y,0.3,
Air Alize,\N,,RLZ,ALIZE,France,false,N,0.3,
Air Amder,\N,,RMD,AIR AMDER,Mauritania,false,N,0.3,
Armenian Airlines,\N,,RME,ARMENIAN,Armenia,false,N,0.3,
Armenian International Airways,\N,MV,RML,,Armenia,false,N,0.3,
Arm-Aero,\N,,RMO,ARM-AERO,Armenia,false,N,0.3,
Air Max,\N,,RMX,AEROMAX,Bulgaria,false,N,0.3,
Air Salone,\N,20,RNE,AIR SALONE,Sierra Leone,true,Y,0.3,
Aeronem Air Cargo,\N,,RNM,AEROMNEM,Ecuador,false,N,0.3,
Air Cargo Masters,\N,,RNR,RUNNER,United States,false,N,0.3,
Armavia,\N,U8,RNV,ARMAVIA,Armenia,true,Y,0.3,
Aeroeste,\N,,ROE,ESTE-BOLIVIA,Bolivia,false,N,0.3,
Aero Gen,\N,,ROH,AEROGEN,Mexico,false,N,0.3,
Avior Airlines,\N,,ROI,AVIOR,Venezuela,false,N,0.3,
Aeroel Airways,\N,,ROL,AEROEL,Israel,false,N,0.3,
Aeromar,\N,BQ,ROM,BRAVO QUEBEC,Dominican Republic,false,N,0.3,
Aeroitalia,\N,,ROO,AEROITALIA,Italy,false,N,0.3,
Aerodan,\N,,ROD,AERODAN,Mexico,false,N,0.3,
AeroRep,\N,P5,RPB,AEROREPUBLICA,Colombia,true,Y,0.3,
Aerolineas Del Pacifico,\N,,RPC,AEROPACSA,Ecuador,false,N,0.3,
Aero Roca,\N,,RRC,AEROROCA,Mexico,false,N,0.3,
Aerotransportes Internacionales De Torreon,\N,,RRE,AERO TORREON,Mexico,false,N,0.3,
Acvila Air-Romanian Carrier,\N,,RRM,AIR ROMANIA,Romania,false,N,0.3,
Aerolineas Ejecutivas Tarascas,\N,,RSC,TARASCAS,Mexico,false,N,0.3,
Aero-Service,\N,BF,RSR,CONGOSERV,Republic of the Congo,true,Y,0.3,
Aerosur,\N,5L,RSU,AEROSUR,Bolivia,true,Y,0.3,
Aeronorte,\N,,RTE,LUZAVIA,Portugal,true,Y,0.3,
Artis,\N,,RTH,ARTHELICO,France,false,N,0.3,
Arhabaev Tourism Airlines,\N,,RTO,ARTOAIR,Kazakhstan,false,N,0.3,
Air Turquoise,\N,,RTQ,TURQUOISE,France,false,N,0.3,
Aerotucan,\N,,RTU,AEROTUCAN,Mexico,false,N,0.3,
Air Anastasia,\N,,RUD,ANASTASIA,Ukraine,false,N,0.3,
Air Rum,\N,,RUM,AIR RUM,Sierra Leone,false,N,0.3,
ACT Havayollari,\N,,RUN,CARGO TURK,Turkey,false,N,0.3,
Air VIP,\N,,RVP,AEROVIP,Portugal,false,N,0.3,
Aircompany Veteran,\N,,RVT,AIR-VET,Armenia,false,N,0.3,
Alliance Express Rwanda,\N,,RWB,,Rwanda,false,N,0.3,
Arrow Ecuador Arrowec,\N,,RWC,ARROWEC,Ecuador,false,N,0.3,
Aerogroup 98 Limited,\N,,RWY,TYNWALD,United Kingdom,false,N,0.3,
Aeroxtra,\N,,RXT,AERO-EXTRA,Mexico,false,N,0.3,
Express Air Charter,\N,,RXX,REX AIR,Canada,false,N,0.3,
Air Whitsunday,\N,,RWS,,Australia,false,N,0.3,
Aero Zambia,\N,,RZL,AERO ZAMBIA,Zambia,false,N,0.3,
Aero Zano,\N,,RZN,ZANO,Mexico,false,N,0.3,
Anoka Air Charter,\N,,RZZ,RED ZONE,United States,false,N,0.3,
Aerosaab,\N,,SBH,AEROSAAB,Mexico,false,N,0.3,
Associated Aviation,\N,,SCD,ASSOCIATED,Nigeria,false,N,0.3,
American Jet International,\N,,SCM,SCREAMER,United States,false,N,0.3,
Air Santo Domingo,\N,EX,SDO,AERO DOMINGO,Dominican Republic,false,N,0.3,
Aero Sudpacifico,\N,,SDP,SUDPACIFICO,Mexico,false,N,0.3,
Aero Servicios Ejecutivas Del Pacifico,\N,,SEF,SERVIPACIFICO,Mexico,false,N,0.3,
Aero California,\N,JR,SER,AEROCALIFORNIA,Mexico,false,N,0.3,
A-Safar Air Services,\N,,SFM,AIR SAFAR,Nigeria,false,N,0.3,
Aerosegovia,\N,,SGV,SEGOVIA,Nicaragua,false,N,0.3,
Airshare Holdings,\N,,SHH,AIRSHARE,United Kingdom,false,N,0.3,
Aerosiyusa,\N,,SIY,SIYUSA,Mexico,false,N,0.3,
Aero Silza,\N,,SIZ,AEROSILZA,Mexico,false,N,0.3,
Air San Juan,\N,,SJN,SAN JUAN,United States,false,N,0.3,
Aero-North Aviation Services,\N,,SKP,SKIPPER,Canada,false,N,0.3,
Aero Sami,\N,,SMI,SAMI,Mexico,false,N,0.3,
Avient Aviation,\N,Z3,SMJ,AVAVIA,Zimbabwe,true,Y,0.3,
Aerolineas Sol,\N,,SOD,ALSOL,Mexico,false,N,0.3,
Air Soleil,\N,,SOE,AIR SOLEIL,Mauritania,false,N,0.3,
Aero Soga,\N,,SOG,AEROSOGA,Guinea-Bissau,false,N,0.3,
Airspeed Aviation,\N,,SPD,SPEEDLINE,Canada,false,N,0.3,
Air Service,\N,M3,SPJ,AIR SKOPJE,Macedonia,false,N,0.3,
Aeroservicios Ejecutivos Del Pacifico,\N,,SPO,EJECTUIV PACIFICO,Mexico,false,N,0.3,
Asian Aerospace Service,\N,,SPY,THAI SPACE,Thailand,false,N,0.3,
Airworld,\N,,SPZ,SPEED SERVICE,South Africa,false,N,0.3,
Alsaqer Aviation,\N,,SQR,ALSAQER AVIATION,Libya,false,N,0.3,
Air Safaris and Services,\N,,SRI,AIRSAFARI,New Zealand,false,N,0.3,
Aero Servicio Corporativo,\N,,SRV,SERVICORP,Mexico,false,N,0.3,
Air Sultan,\N,,SSL,SIERRA SULTAN,Sierra Leone,false,N,0.3,
Aero 1 Pro-Jet,\N,,SSM,RAPID,Canada,false,N,0.3,
Airquarius Air Charter,\N,,SSN,SUNSTREAM,South Africa,false,N,0.3,
Aeropac,\N,,STK,SAT PAK,United States,false,N,0.3,
Air St. Thomas,\N,,STT,PARADISE,United States,false,N,0.3,
Aerolineas Del Sureste,\N,,SUE,AEROSURESTE,Mexico,false,N,0.3,
Aerial Surveys (1980) Limited,\N,,SUY,SURVEY,New Zealand,false,N,0.3,
Air Slovakia,\N,GM,SVK,SLOVAKIA,Slovakia,false,N,0.3,
Adler Aviation,\N,,SWH,SHOCKWAVE,Canada,false,N,0.3,
Aircompany Yakutia,\N,R3,SYL,AIR YAKUTIA,Russia,true,Y,0.3,
Aerosud Aviation,\N,,SYT,SKYTRACK,South Africa,false,N,0.3,
Aeroservicios de La Costa,\N,,TAA,AERO COSTA,Mexico,false,N,0.3,
Aeromar,\N,VW,TAO,TRANS-AEROMAR,Mexico,true,Y,0.3,
Aerotrebol,\N,,TBL,AEROTREBOL,Mexico,false,N,0.3,
Aero Taxi de Los Cabos,\N,,TBO,AERO CABOS,Mexico,false,N,0.3,
Air Turks and Caicos,\N,JY,TCI,KERRMONT,Turks and Caicos Islands,false,N,0.3,
Aerotranscolombina de Carga,\N,,TCO,TRANSCOLOMBIA,Colombia,false,N,0.3,
Air Cargo Express,\N,,TDG,TURBO DOG,United States,false,N,0.3,
Atlas Helicopters,\N,,TDT,TRIDENT,United Kingdom,false,N,0.3,
Air Today,\N,,TDY,AIR TODAY,United States,false,N,0.3,
Aero Servicios Azteca,\N,,TED,AEROAZTECA,Mexico,false,N,0.3,
Arkefly,\N,OR,TFL,ARKEFLY,Netherlands,true,Y,0.3,
Antair,\N,,TIR,ANTAIR,Mexico,false,N,0.3,
Atlantique Air Assistance,\N,,TLB,TRIPLE-A,France,false,N,0.3,
Aero Taxi Autlan,\N,,TLD,AEREO AUTLAN,Mexico,false,N,0.3,
Aero Util,\N,,TLE,AEROUTIL,Mexico,false,N,0.3,
Aero Toluca Internactional,\N,,TLU,AEROTOLUCA,Mexico,false,N,0.3,
Aero Taxi del Centro de Mexico,\N,,TME,TAXICENTRO,Mexico,false,N,0.3,
Aerotropical,\N,,TOC,TROPICMEX,Mexico,false,N,0.3,
Air Tomisko,\N,,TOH,TOMISKO CARGO,Serbia,false,N,0.3,
Airlines PNG,\N,CG,TOK,BALUS,Papua New Guinea,true,Y,0.3,
Aero Tanala,\N,,TON,AEROTANALA,Mexico,false,N,0.3,
Aero Tropical,\N,,TPB,AERO TROPICAL,Angola,false,N,0.3,
Air Cal,\N,TY,TPC,AIRCAL,France,false,N,0.3,
Air Horizon,\N,,TPK,TCHAD-HORIZON,Chad,false,N,0.3,
Aero Taxi del Potosi,\N,,TPO,TAXI-POTOSI,Mexico,false,N,0.3,
Aeroturquesa,\N,,TQS,AEROTURQUESA,Mexico,false,N,0.3,
Airmark Aviation,\N,,TRH,TRANSTAR,United States,false,N,0.3,
AirTran Airways,\N,FL,TRS,CITRUS,United States,true,Y,0.3,
Air Transat,\N,TS,TSC,TRANSAT,Canada,true,Y,0.3,
airtransse,\N,,TSQ,AIRTRA,Japan,false,N,0.3,
Aerolineas Turisticas del Caribe,\N,,TTB,AERO TURISTICAS,Mexico,false,N,0.3,
Avcenter,\N,,TTE,TETON,United States,false,N,0.3,
Air Tungaru,\N,,TUN,TUNGARU,Kiribati,false,N,0.3,
Avialeasing Aviation Company,\N,EC,TWN,TWINARROW,Uzbekistan,true,Y,0.3,
Aerotaxis del Noroeste,\N,,TXD,TAXI OESTE,Mexico,false,N,0.3,
Aerotaxis Alfe,\N,,TXF,ALFE,Mexico,false,N,0.3,
Aereotaxis,\N,,TXI,AEREOTAXIS,Mexico,false,N,0.3,
Tyrolean Airways,\N,VO,TYR,TYROLEAN,Austria,true,Y,0.3,
Aero Tomza,\N,,TZA,AERO TOMZA,Mexico,false,N,0.3,
Air Zambezi,\N,,TZT,ZAMBEZI,Zimbabwe,false,N,0.3,
Afra Airlines,\N,,UAG,AFRALINE,Ghana,false,N,0.3,
Aerostar Airlines,\N,,UAR,AEROSTAR,Ukraine,false,N,0.3,
Air Division of the Eastern Kazakhstan Region,\N,,UCK,GALETA,Kazakhstan,false,N,0.3,
Aero-Charter Ukraine,\N,DW,UCR,CHARTER UKRAINE,Ukraine,false,N,0.3,
Air LA,\N,,UED,AIR L-A,United States,false,N,0.3,
Air Ukraine,\N,6U,UKR,AIR UKRAINE,Ukraine,false,N,0.3,
Air Umbria,\N,,UMB,AIR UMBRIA,Italy,false,N,0.3,
Atuneros Unidos de California,\N,,UND,ATUNEROS UNIDOS,Mexico,false,N,0.3,
Aeroclub Flaps,\N,,FLP,AEROCLUB FLAPS,Spain,false,N,0.3,
Aerolineas Galapagos (Aerogal),\N,2K,GLG,AEROGAL,Ecuador,true,Y,0.3,
Air Castle Corporation / Global Airways,\N,,GLB,GLO-AIR,United States,false,N,0.3,
Alrosa Mirny Air Enterprise,\N,6R,DRU,MIRNY,Russia,true,Y,0.3,
Bearing Supplies Limited,\N,,PVO,PROVOST,United Kingdom,false,N,0.3,
Balkan Agro Aviation,\N,,BAA,BALKAN AGRO,Bulgaria,false,N,0.3,
Bahrain Air BSC (Closed),\N,,BAB,AWAL,Bahrain,false,N,0.3,
BAC Leasing Limited,\N,,BAC, ,United Kingdom,false,N,0.3,
BAE Systems,\N,,BAE,FELIX,United Kingdom,false,N,0.3,
Belgian Air Force,\N,,BAF,BELGIAN AIRFORCE,Belgium,false,N,0.3,
Baker Aviation,\N,8Q,BAJ,BAKER AVIATION,United States,false,N,0.3,
Blackhawk Airways,\N,,BAK,BLACKHAWK,United States,false,N,0.3,
Britannia Airways,\N,,BAL,BRITANNIA,United Kingdom,false,N,0.3,
Business Air Services,\N,,BAM,BUSINESS AIR,Canada,false,N,0.3,
British Antarctic Survey,\N,,BAN,PENGUIN,United Kingdom,false,N,0.3,
Bradly Air (Charter) Services,\N,,BAR,BRADLEY,Canada,false,N,0.3,
Bissau Airlines,\N,,BAU,AIR BISSAU,Guinea-Bissau,false,N,0.3,
Bay Aviation Ltd,\N,,BAV,BAY AIR,Bangladesh,false,N,0.3,
British Airways,\N,BA,BAW,SPEEDBIRD,United Kingdom,true,Y,0.3,
Best Aero Handling Ltd,\N,,BAX,,Russia,false,N,0.3,
Bayon Airlines,\N,,BAY,BAYON,Cambodia,false,N,0.3,
Bannert Air,\N,,BBA,BANAIR,Austria,false,N,0.3,
Biman Bangladesh Airlines,\N,BG,BBC,BANGLADESH,Bangladesh,true,Y,0.3,
Bluebird Cargo,\N,BF,BBD,BLUE CARGO,Iceland,false,N,0.3,
Beibars CJSC,\N,,BBS,BEIBARS,Kazakhstan,false,N,0.3,
Bravo Airlines,\N,,BBV,BRAVO EUROPE,Spain,false,N,0.3,
Blue Bird Aviation,\N,,BBZ,COBRA,Kenya,false,N,0.3,
BACH Flugbetriebsges,\N,B4,BCF,BACH,Austria,false,N,0.3,
Blue Islands,\N,,BCI,BLUE ISLAND,United Kingdom,false,N,0.3,
British Caribbean Airways,\N,,BCL,,United Kingdom,false,N,0.3,
British Charter,\N,,BCR,BACKER,United Kingdom,false,N,0.3,
BCT Aviation,\N,,BCT,BOBCAT,United Kingdom,false,N,0.3,
Business Aviation Center,\N,,BCV,BUSINESS AVIATION,Ukraine,false,N,0.3,
Blue Dart Aviation,\N,BZ,BDA,BLUE DART,India,false,N,0.3,
B&H Airlines,\N,JA,BON,Air Bosna,Bosnia and Herzegovina,false,N,0.3,
Bissau Discovery Flying Club,\N,,BDF,BISSAU DISCOVERY,Guinea-Bissau,false,N,0.3,
Belgian Army,\N,,AYB,BELGIAN ARMY,Belgium,false,N,0.3,
Badr Airlines,\N,,BDR,BADR AIR,Sudan,false,N,0.3,
Best Aviation Ltd,\N,,BEA,BEST AIR,Bangladesh,false,N,0.3,
Belgorod Aviation Enterprise,\N,,BED,BELOGORYE,Russia,false,N,0.3,
Bar Harbor Airlines,\N,,AJC,BAR HARBOR,United States,false,N,0.3,
Balear Express,\N,,BEF,BALEAR EXPRESS,Spain,false,N,0.3,
Bel Air Helicopters,\N,,BEH,BLUECOPTER,Denmark,false,N,0.3,
Berkut Air,\N,,BEK,BERKUT,Kazakhstan,false,N,0.3,
BETA - Brazilian Express Transportes Aereos,\N,,BET,BETA CARGO,Brazil,false,N,0.3,
Basler Flight Service,\N,,BFC,BASLER,United States,false,N,0.3,
Bear Flight,\N,,BFG,BEARFLIGHT,Sweden,false,N,0.3,
Buffalo Airways,\N,J4,BFL,BUFFALO,Canada,false,N,0.3,
Bombardier,\N,,BFO,BOMBARDIER,Canada,false,N,0.3,
Burkina Airlines,\N,,BFR,BURKLINES,Burkina Faso,false,N,0.3,
Business Flight Sweden,\N,,BFS,BUSINESS FLIGHT,Sweden,false,N,0.3,
Bahrain Defence Force,\N,,BFW,SUMMAN,Bahrain,false,N,0.3,
BH Air,\N,,BGH,BALKAN HOLIDAYS,Bulgaria,false,N,0.3,
British Gulf International,\N,,BGI,BRITISH GULF,S,false,N,0.3,
British Gulf International-Fez,\N,,BGK,GULF INTER,Kyrgyzstan,false,N,0.3,
Benin Golf Air,\N,A8,BGL,BENIN GOLF,Benin,false,N,0.3,
Bugulma Air Enterprise,\N,,BGM,BUGAVIA,Russia,false,N,0.3,
Budget Air Bangladesh,\N,,BGR,BUDGET AIR,Bangladesh,false,N,0.3,
Bergen Air Transport,\N,,BGT,BERGEN AIR,Norway,false,N,0.3,
Buddha Air,\N,,BHA,BUDDHA AIR,Nepal,false,N,0.3,
Balkh Airlines,\N,,BHI,SHARIF,Afghanistan,false,N,0.3,
Bristow Helicopters,\N,,BHL,BRISTOW,United Kingdom,false,N,0.3,
Bristow Helicopters Nigeria,\N,,BHN,BRISTOW HELICOPTERS,Nigeria,false,N,0.3,
Bhoja Airlines,\N,,BHO,BHOJA,Pakistan,false,N,0.3,
Belair Airlines,\N,4T,BHP,BELAIR,Switzerland,true,Y,0.3,
Bighorn Airways,\N,,BHR,BIGHORN AIR,United States,false,N,0.3,
Bahamasair,\N,UP,BHS,BAHAMAS,Bahamas,true,Y,0.3,
Bright Air,\N,,BHT,BRIGHTAIR,Netherlands,false,N,0.3,
Bringer Air Cargo Taxi Aereo,\N,E6,,,Brazil,false,N,0.3,
Balkan Bulgarian Airlines,\N,LZ,,,,true,Y,0.3,
BA Connect,\N,TH,,,United Kingdom,false,N,0.3,
Bosphorus European Airways,\N,,BHY,BOSPHORUS,Turkey,false,N,0.3,
Binair,\N,,BID,BINAIR,Germany,false,N,0.3,
Big Island Air,\N,,BIG,BIG ISLE,United States,false,N,0.3,
British International Helicopters,\N,BS,BIH,BRINTEL,United Kingdom,true,Y,0.3,
Billund Air Center,\N,,BIL,BILAIR,Denmark,false,N,0.3,
Boise Interagency Fire Center,\N,,BIN,BISON-AIR,United States,false,N,0.3,
Bird Leasing,\N,,BIR,BIRD AIR,United States,false,N,0.3,
Bizjet Ltd,\N,,BIZ,BIZZ,United Kingdom,false,N,0.3,
Baja Air,\N,,BJA,BAJA AIR,Mexico,false,N,0.3,
Baltic Jet Aircompany,\N,,BJC,BALTIC JET,Latvia,false,N,0.3,
Business Jet Solutions,\N,,BJS,SOLUTION,United States,false,N,0.3,
Bankair,\N,B4,BKA,BANKAIR,United States,false,N,0.3,
BF-Lento OY,\N,,BKF,BAKERFLIGHT,Finland,true,Y,0.3,
Barken International,\N,,BKJ,BARKEN JET,United States,false,N,0.3,
Bangkok Airways,\N,PG,BKP,BANGKOK AIR,Thailand,true,Y,0.3,
Bukovyna,\N,,BKV,BUKOVYNA,Ukraine,false,N,0.3,
Blue Bird Aviation,\N,,BLB,BLUEBIRD SUDAN,Sudan,false,N,0.3,
Bellesavia,\N,,BLC,BELLESAVIA,Belarus,false,N,0.3,
Blue Line,\N,,BLE,BLUE BERRY,France,false,N,0.3,
Blue1,\N,KF,BLF,BLUEFIN,Finland,true,Y,0.3,
Belgavia,\N,,BLG,BELGAVIA,Belgium,false,N,0.3,
Blue Horizon Travel Club,\N,,BLH,BLUE HORIZON,United States,false,N,0.3,
Blue Jet,\N,,BLJ,BLUEWAY,Spain,false,N,0.3,
Baltic Airlines,\N,,BLL,BALTIC AIRLINES,Russia,true,Y,0.3,
Blue Airways,\N,,BLM,BLUE ARMENIA,Armenia,false,N,0.3,
Bali International Air Service,\N,,BLN,BIAR,Indonesia,false,N,0.3,
Bearskin Lake Air Service,\N,JV,BLS,BEARSKIN,Canada,true,Y,0.3,
Baltic Aviation,\N,,BLT,BALTAIR,United States,false,N,0.3,
Bellview Airlines,\N,B3,BLV,BELLVIEW AIRLINES,Nigeria,true,Y,0.3,
bmi,bmi British Midland,BD,BMA,MIDLAND,United Kingdom,true,Y,0.3,
British Medical Charter,\N,,BMD,BRITISH MEDICAL,United Kingdom,false,N,0.3,
Briggs Marine Environmental Services,\N,,BME,BRIGGS,United Kingdom,false,N,0.3,
Bristow Masayu Helicopters,\N,,BMH,MASAYU,Indonesia,false,N,0.3,
bmibaby,\N,WW,BMI,BABY,United Kingdom,true,Y,0.3,
Bemidji Airlines,\N,CH,BMJ,BEMIDJI,United States,true,Y,0.3,
Bismillah Airlines,\N,5Z,BML,BISMILLAH,Bangladesh,false,N,0.3,
Bowman Aviation,\N,,BMN,BOWMAN,United States,false,N,0.3,
British Midland Regional,\N,,BMR,,United Kingdom,true,Y,0.3,
BMW,\N,,BMW,BMW-FLIGHT,Germany,false,N,0.3,
Banco de Mexico,\N,,BMX,BANXICO,Mexico,false,N,0.3,
Bond Offshore Helicopters,\N,,BND,BOND,United Kingdom,false,N,0.3,
Benina Air,\N,,BNE,BENINA AIR,Libya,false,N,0.3,
BN Group Limited,\N,,BNG,VECTIS,United Kingdom,false,N,0.3,
Blue Nile Ethiopia Trading,\N,,BNL,NILE TRADING,Ethiopia,false,N,0.3,
Bonair Aviation,\N,,BNR,BONAIR,Canada,false,N,0.3,
Bancstar - Valley National Corporation,\N,,BNS,BANCSTAR,United States,false,N,0.3,
Bentiu Air Transport,\N,,BNT,BENTIU AIR,Sudan,false,N,0.3,
Benane Aviation Corporation,\N,,BNV,BENANE,Mauritania,false,N,0.3,
British North West Airlines,\N,,BNW,BRITISH NORTH,United Kingdom,false,N,0.3,
Boniair,\N,,BOA,KUMANOVO,Macedonia,false,N,0.3,
Bond Air Services,\N,,BOD,UGABOND,Uganda,false,N,0.3,
Boeing,\N,,BOE,BOEING,United States,false,N,0.3,
Bordaire,\N,,BOF,BORDAIR,Canada,false,N,0.3,
Bookajet Limited,\N,,BOO,BOOKAJET,United Kingdom,false,N,0.3,
Bouraq Indonesia Airlines,\N,BO,BOU,BOURAQ,Indonesia,false,N,0.3,
Blue Panorama Airlines,\N,BV,BPA,BLUE PANOROMA,Italy,true,Y,0.3,
Berkhut ZK,\N,,BPK,VENERA,Kazakhstan,false,N,0.3,
Bundepolizei-Fliegertruppe,\N,,BPO,PIROL,Germany,false,N,0.3,
Budapest Aircraft Services/Manx2,\N,,BPS,BASE,Hungary,true,Y,0.3,
Bonus Aviation,\N,,BPT,BONUS,United Kingdom,false,N,0.3,
British Petroleum Exploration,\N,,BPX,,Colombia,false,N,0.3,
BRA-Transportes Aereos,\N,7R,BRB,BRA-TRANSPAEREOS,Brazil,false,N,0.3,
Brock Air Services,\N,,BRD,BROCK AIR,Canada,false,N,0.3,
Breeze Ltd,\N,,BRE,AVIABREEZE,Ukraine,false,N,0.3,
Bering Air,\N,8E,BRG,BERING AIR,United States,true,Y,0.3,
Briansk State Air Enterprise,\N,,BRK,BRIANSK-AVIA,Russia,false,N,0.3,
Branson Airlines,\N,,BRN,BRANSON,United States,false,N,0.3,
BASE Regional Airlines,\N,,BRO,COASTRIDER,Netherlands,false,N,0.3,
Brazilian Air Force,\N,,BRS,BRAZILIAN AIR FORCE,Brazil,true,Y,0.3,
British Regional Airlines,\N,,BRT,BRITISH,United Kingdom,false,N,0.3,
Belavia Belarusian Airlines,\N,B2,BRU,BELARUS AVIA,Belarus,true,Y,0.3,
Bravo Air Congo,\N,K6,BRV,BRAVO,Democratic Republic of the Congo,false,N,0.3,
Bright Aviation Services,\N,,BRW,BRIGHT SERVICES,Bulgaria,false,N,0.3,
Braniff International Airways,\N,BN,BNF,Braniff,United States,false,N,0.3,
Buffalo Express Airlines,\N,,BRX,BUFF EXPRESS,United States,false,N,0.3,
Burundayavia,\N,,BRY,BURAIR,Kazakhstan,false,N,0.3,
Bistair - Fez,\N,,BSC,BIG SHOT,Kyrgyzstan,false,N,0.3,
Blue Star Airlines,\N,,BSD,AIRLINES STAR,Mexico,false,N,0.3,
Brasair Transportes Aereos,\N,,BSI,BRASAIR,Brazil,false,N,0.3,
Blue Swann Aviation,\N,,BSJ,BLUE SWANN,United Kingdom,false,N,0.3,
Blue Sky Aviation,\N,,BSM,,Lebanon,false,N,0.3,
Bissau Aero Transporte,\N,,BSS,BISSAU AIRSYSTEM,Guinea-Bissau,false,N,0.3,
Best Air,\N,,BST,TUNCA,Turkey,false,N,0.3,
Blue Sky Airways,\N,,BSW,SKY BLUE,Czech Republic,false,N,0.3,
Big Sky Airlines,\N,GQ,BSY,BIG SKY,United States,false,N,0.3,
BAL Bashkirian Airlines,\N,V9,BTC,BASHKIRIAN,Russia,false,N,0.3,
Baltijas Helicopters,\N,,BTH,BALTIJAS HELICOPTERS,Latvia,false,N,0.3,
Baltyka,\N,,BTK,BALTYKA,Ukraine,false,N,0.3,
